"name","icc","icc_low","icc_up","icc_panel","icc_panel_low","icc_panel_up"
"loc_peak_loc",0.755159098130583,0.7200655177848,0.789737432654224,0.984047397894094,0.980932510471297,0.986862704158721
"loc_peak_glob",0.957977829044159,0.950161117693599,0.965148339640644,0.997811525213685,0.997384206050219,0.99819774601547
"stat_mean",0.992256235591283,0.990757473034522,0.993614560670658,0.999609942290305,0.999533780053823,0.999678779455952
"stat_var",0.933992633040569,0.922058431942706,0.945033287205653,0.996478829626294,0.995791289798135,0.99710024379723
"stat_skew",0.940935328774608,0.930167528986114,0.950872543419687,0.996871205268172,0.996260280273366,0.99742337320609
"stat_kurt",0.874628467291455,0.853554289105051,0.894537219319005,0.992883871414209,0.991494384026274,0.994139721792377
"stat_median",0.997091857654925,0.996525891104081,0.99760391673485,0.999854190048456,0.999825719358774,0.999879922506854
"stat_min",0.425118531109118,0.379081439232411,0.47607648258433,0.936667896504028,0.924301740103383,0.947844710577403
"stat_p10",0.946883317128672,0.937131253768645,0.955864277555952,0.997203028290084,0.996656894691107,0.997696636287364
"stat_p90",0.995460872073485,0.994579131297116,0.996259087951886,0.999772060690272,0.999727553513053,0.999812287291699
"stat_max",0.784250108733806,0.752046311635507,0.815657558391915,0.986431466236851,0.983782089358769,0.98882603345865
"stat_iqr",0.971520620242536,0.96613865114352,0.976434124651525,0.998536433622598,0.998250659272361,0.998794722995306
"stat_range",0.731362492507689,0.694149517388084,0.768337758341122,0.981965659309687,0.97844429391602,0.985148349631103
"stat_mad",0.944336396918366,0.934147534673267,0.953728054324447,0.997061426855219,0.996487644316867,0.997580024594236
"stat_rmad",0.969336944161138,0.963556993012796,0.974617857791655,0.998420846623297,0.998112502883567,0.998699534724757
"stat_medad",0.947247100746232,0.937557654443144,0.956169249967529,0.997223194735357,0.996680998814155,0.997713243769697
"stat_cov",0.932170275131856,0.919933328166293,0.94349828806592,0.99637491998559,0.995667090876048,0.997014672071588
"stat_qcod",0.951199757863102,0.942194347673525,0.959480481600506,0.997441369179767,0.996941773758994,0.99789291491063
"stat_energy",0.948663884252307,0.939218848251813,0.957356631027654,0.997301594855736,0.996774707255226,0.997777807880841
"stat_rms",0.995599620569778,0.994744697009286,0.99637352163551,0.999779057408817,0.999735916403114,0.999818049233283
"ivh_v10",0.88833937236109,0.869244918759912,0.906290894565666,0.993754456361572,0.992534958426457,0.994856666396934
"ivh_v25",0.871407533449194,0.849879590226312,0.891768062527613,0.992675608137677,0.991245455492978,0.993968212701979
"ivh_v50",0.746554589012225,0.710669444132287,0.782020202413094,0.983308980195055,0.980049910149998,0.986254602000697
"ivh_v75",0.892883393786942,0.874462319470279,0.910174117630234,0.994037412120325,0.992873163813345,0.99508968628222
"ivh_v90",0.817004891256127,0.788454354412929,0.844529923095607,0.988924887763065,0.986762373611213,0.990879417353605
"ivh_i10",0.929161577466154,0.916427902963325,0.940961940013479,0.996202521881781,0.995461030509386,0.996872698688363
"ivh_i25",0.911570703364702,0.896009875556868,0.926080754767364,0.995173032057173,0.994230523641584,0.996024892650096
"ivh_i50",0.890548295264262,0.871780105587108,0.908179345444792,0.99389234631036,0.992699772613958,0.994970221604965
"ivh_i75",0.866034173136809,0.843758767205616,0.887141575188387,0.992324920160784,0.990826292570036,0.993679413942388
"ivh_i90",0.86653500661084,0.844328766070838,0.887573155385527,0.992357779920812,0.990865568490421,0.993706474630413
"ivh_diff_v10_v90",0.816344657136237,0.787716256871171,0.84395117739467,0.988876484447257,0.986704519117557,0.990839556227799
"ivh_diff_v25_v75",0.893514519000004,0.875187653401169,0.910712987209784,0.994076497263838,0.992919880678702,0.995121873701547
"ivh_diff_i10_i90",0.959015113821545,0.951382069618836,0.966014578131178,0.99786773456784,0.997451390780625,0.998244035574356
"ivh_diff_i25_i75",0.972225883772286,0.966972895771397,0.977020440297355,0.998573659612086,0.998295153967336,0.998825379363066
"ivh_auc",0.880174374212417,0.859891568850112,0.899298090305982,0.993239095588751,0.991918968879797,0.994432256204002
"morph_volume",0.947998702945458,0.938438808358997,0.956799225269658,0.99726481356719,0.996730744093007,0.997747517733451
"morph_vol_approx",0.948167537213946,0.938636777624486,0.956940716157042,0.997274153910503,0.996741908221411,0.997755209698218
"morph_area_mesh",0.977244839361283,0.972916013132207,0.981188892452509,0.998837103158859,0.99861003720934,0.999042330540589
"morph_av",0.899106408436993,0.881621532212027,0.91548240714533,0.994420534747987,0.993331094541051,0.995405195643619
"morph_comp_1",0.73745480310466,0.700763649205039,0.773833426923085,0.982510560146904,0.979095591487339,0.985597086674449
"morph_comp_2",0.678301564823484,0.637140286665781,0.719971528098042,0.976835779397157,0.972312759332112,0.980923788045868
"morph_sph_dispr",0.835521258086014,0.809225866617819,0.860707271236945,0.990253056085341,0.988349878609408,0.991973191275935
"morph_sphericity",0.757179992152197,0.722276484316572,0.791546570506213,0.984218550500965,0.981137082146667,0.987003651849608
"morph_asphericity",0.835521258086014,0.809225866617819,0.860707271236945,0.990253056085341,0.988349878609408,0.991973191275935
"morph_com",0.922577873839792,0.908770703902511,0.935402799868332,0.995821565578935,0.99500568910068,0.996558973339992
"morph_diam",0.993610944678855,0.992372464538409,0.99473283960362,0.999678596442086,0.99961583953926,0.999735317561567
"morph_pca_maj_axis",0.989431405952706,0.987392510100419,0.991281096624573,0.999466210968029,0.999361983912714,0.999560413756748
"morph_pca_min_axis",0.978927789650249,0.974911320064628,0.982585076822242,0.998924866821649,0.998714937507745,0.999114605721436
